2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/client/methods/HttpRequestWrapper (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$JvmInfo (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/client/methods/HttpRequestWrapper$HttpEntityEnclosingRequestWrapper (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$JvmInfoOrBuilder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/params/BasicHttpParams (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/params/AbstractHttpParams (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$JvmInfo$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/params/HttpParams (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$HeapMemory (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/params/HttpParamsNames (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$HeapMemoryOrBuilder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/params/HttpProtocolParams (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/params/CoreProtocolPNames (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$HeapMemory$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/message/BasicRequestLine (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$GcActivity (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/RequestLine (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$GcActivityOrBuilder (BootstrapClassLoader)
